facility_id,name,program_name,address,city,zip,permit_type,is_kbbq,osm_match
FA0354474,"DAMSOT LA, LLC",DAMSOT LA,3377 WILSHIRE BLVD STE 112,LOS ANGELES,90010,RESTAURANT (31-60) SEATS HIGH RISK,False,Damsot
FA0354516,KOREAN TOP FOODS INC-YELLOW HOUSE,KOREAN TOP FOODS INC,8926 RESEDA BLVD,NORTHRIDGE,91324,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0354566,SUN HA JANG LA,SUN HA JANG LA,4032 W OLYMPIC BLVD,LOS ANGELES,90019,RESTAURANT (31-60) SEATS HIGH RISK,True,
FA0354590,HANU KOREAN BBQ,HANU KOREAN BBQ,2999 W LOS ANGELES ST # 105,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0354710,BBQ+ RICE WEST LA,BBQ + RICE,11086 SANTA MONICA BLVD,LOS ANGELES,90025,RESTAURANT (0-30) SEATS HIGH RISK,False,BBQ+Rice
FA0354843,GABIN KOREAN GRILL,GABIN KOREAN GRILL,400 S WESTERN AVE,LOS ANGELES,9002-,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0355044,ATTO,ATTO,17905 S WESTERN AVE,TORRANCE,90248,RESTAURANT (31-60) SEATS HIGH RISK,False,Atto 아토
FA0355167,GOGI,GOGI,11746 SOUTH ST,ARTESIA,90701,RESTAURANT (151 + ) SEATS HIGH RISK,True,
FA0356008,SOONDOL TOFU HOUSE,SOONDOL TOFU HOUSE,3300 W 6TH ST STE 1,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0356026,M SPOON,M SPOON,2789 W OLYMPIC BLVD 104,LOS ANGELES,90006,RESTAURANT (0-30) SEATS MODERATE RISK,False,M Spoon
FA0356404,BAEKJEONG LOS ANGELES,BAEKJEONG,3429 W 8TH ST,LOS ANGELES,90005,RESTAURANT (31-60) SEATS HIGH RISK,True,
FA0356519,BUNSIK 88,BUNSIK 88,18327 COLIMA RD,ROWLAND HEIGHTS,91748,RESTAURANT (0-30) SEATS MODERATE RISK,False,BUNSIK 88 - Korean Street
FA0356718,YOUNGDONG NOODLE,YOUNGDONG NOODLE,928 S WESTERN AVE # 131,LOS ANGELES,90006,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0356982,OLLE KOREAN CUISINE,OLLE KOREAN CUISINE,745 S OXFORD BCH F-1,LOS ANGELES,90005,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0357117,POTATO POWDER LOVE NOODLE LA,POTATO POWDER LOVE NOODLE LA,3450 W 6TH ST 108,LOS ANGELES,90020,RESTAURANT (0-30) SEATS HIGH RISK,False,Paik's Noodle
FA0357943,SEOUL BELLY,SEOUL BELLY,11636 ARTESIA BLVD,ARTESIA,90701,RESTAURANT (31-60) SEATS HIGH RISK,False,
FA0358109,THE ONE JOKBAL INC,THE ONE JOKBAL,338 S WESTERN AVE A-B,LOS ANGELES,90020,RESTAURANT (61-150) SEATS HIGH RISK,False,
FA0358388,SAMGYEOPJIB,SAMGYEOPJIB,16430 NORWALK BLVD,CERRITOS,90703,RESTAURANT (61-150) SEATS HIGH RISK,True,
FA0358454,88 HOT DOG POCHA,88 POCHA KOREAN CUISINE,1610 W REDONDO BEACH BLVD STE 3,GARDENA,90247,RESTAURANT (0-30) SEATS HIGH RISK,False,
FA0358491,WI KOREAN BBQ,KOREAN BBQ,4333 E FLORENCE AVE,BELL,90201,RESTAURANT (151 + ) SEATS HIGH RISK,True,
