FACILITY ID,FACILITY NAME,RECORD ID, PROGRAM NAME,PROGRAM ELEMENT,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY  STATE,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,OWNER ID,OWNER NAME,OWNER ADDRESS,OWNER CITY,OWNER STATE,OWNER ZIP
FA0001714,HILLCREST COUNTRY CLUB,PR0039330,HILLCREST COUNTRY CLUB MAIN KITCHEN,1641,RESTAURANT (151 + ) SEATS HIGH RISK,10000 W PICO BLVD,LOS ANGELES,CA,90064,34.052076720,-118.406860500,OW0015531,HILLCREST COUNTRY CLUB INC,10000 W PICO BLVD,LOS ANGELES,CA,90064
FA0001714,HILLCREST COUNTRY CLUB,PR0121882,HILLCREST COUNTRY CLUB OUTDOOR POOL BAR,1634,RESTAURANT (31-60) SEATS MODERATE RISK,10000 W PICO BLVD,LOS ANGELES,CA,90064,34.052076720,-118.406860500,OW0015531,HILLCREST COUNTRY CLUB INC,10000 W PICO BLVD,LOS ANGELES,CA,90064
FA0001714,HILLCREST COUNTRY CLUB,PR0127629,HILLCREST COUNTRY CLUB EMPLOYEE DINING,1631,RESTAURANT (0-30) SEATS MODERATE RISK,10000 W PICO BLVD,LOS ANGELES,CA,90064,34.052076720,-118.406860500,OW0015531,HILLCREST COUNTRY CLUB INC,10000 W PICO BLVD,LOS ANGELES,CA,90064
FA0001714,HILLCREST COUNTRY CLUB,PR0193838,HILLCREST COUNTRY CLUB - BAR,1636,RESTAURANT (61-150) SEATS LOW RISK,10000 W PICO BLVD,LOS ANGELES,CA,90064,34.052076720,-118.406860500,OW0015531,HILLCREST COUNTRY CLUB INC,10000 W PICO BLVD,LOS ANGELES,CA,90064
FA0001833,2 FOR 1 PIZZA,PR0026180,2 FOR 1 PIZZA,1631,RESTAURANT (0-30) SEATS MODERATE RISK,21608 ROSCOE BLVD,CANOGA PARK,CA,91304,34.219576660,-118.600696700,OW0025766,"NEAMETI, PARISSA",21608 ROSCOE BLVD,CANOGA PARK,CA,91304
FA0001841,21 CHOICES,PR0037963,21 CHOICES,1631,RESTAURANT (0-30) SEATS MODERATE RISK,460 W 1ST ST,CLAREMONT,CA,91711,34.094362080,-117.720205200,OW0000661,21 CHOICES LLC,2058 N MILLS AVE #510,CLAREMONT,CA,91711
FA0001842,21 CHOICES,PR0005697,21 CHOICES,1631,RESTAURANT (0-30) SEATS MODERATE RISK,817 W FOOTHILL BLVD,CLAREMONT,CA,91711,34.107821800,-117.729264500,OW0000661,21 CHOICES LLC,2058 N MILLS AVE #510,CLAREMONT,CA,91711
FA0001946,24 HOUR FITNESS,PR0025590,24 HOUR FITNESS,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",19350 NORDHOFF ST UNIT D,NORTHRIDGE,CA,91324,34.235231050,-118.555182800,OW0000732,"24 HOUR FITNESS USA, LLC",PO BOX 2409,CARLSBAD,CA,92018
FA0001947,24 HOUR FITNESS #130,PR0019488,24 HOUR FITNESS #130,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2685 PACIFIC COAST HWY,TORRANCE,CA,90505,33.792046410,-118.332331200,OW0000732,"24 HOUR FITNESS USA, LLC",PO BOX 2409,CARLSBAD,CA,92018
FA0001948,24 HOUR FITNESS # 867,PR0023640,24 HOUR FITNESS # 867,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",500 N ATLANTIC BLVD # A102-,MONTEREY PARK,CA,91754,34.068271570,-118.134326600,OW0000732,"24 HOUR FITNESS USA, LLC",PO BOX 2409,CARLSBAD,CA,92018
